T100B1,T100B10,T100B100,Omniscient,Random
0.732368975,0.732113651,0.7294767,0.731901048,0.703249647
0.732429798,0.732221198,0.729559924,0.731971148,0.703276692
0.732517981,0.732310182,0.729633061,0.732026528,0.70327525
0.732583281,0.732417408,0.72971196,0.73209935,0.703322296
0.732669222,0.732512311,0.729780616,0.732173611,0.703348064
0.732748444,0.732606736,0.729854873,0.732239071,0.70338392
0.73283102,0.732704362,0.729916971,0.732302128,0.703414174
0.732921122,0.732812228,0.729974425,0.732354946,0.703447787
0.732995383,0.732905367,0.730036844,0.732415603,0.703466344
0.733048526,0.73299035,0.730092544,0.732474985,0.703495631
0.733122306,0.733056774,0.730152238,0.732546203,0.703524278
0.733191288,0.733117437,0.730207296,0.732608618,0.703563967
0.733272114,0.733175857,0.73027227,0.732668955,0.703590372
0.733362375,0.733233316,0.730326848,0.732729295,0.703606219
0.733434875,0.733296702,0.730383023,0.73279379,0.703671994
0.733494567,0.733346796,0.730444483,0.732846923,0.7036864
0.733558274,0.733409059,0.730507383,0.732913504,0.703716488
0.733629813,0.733470041,0.730565959,0.732972879,0.703738095
0.733721676,0.733527182,0.730616852,0.733033381,0.703757461
0.733788252,0.733587681,0.730673028,0.733103963,0.703781467
0.733850673,0.733665461,0.730739125,0.733173104,0.703822593
0.733908294,0.733743239,0.730815142,0.733230399,0.703880049
0.733977434,0.733820858,0.730879475,0.733289774,0.703905656
0.73404897,0.733905519,0.730943972,0.733354117,0.703946469
0.734147077,0.733980256,0.73100159,0.73340661,0.703958314
0.734199574,0.734043153,0.731063213,0.733461352,0.703976567
0.734236873,0.734131975,0.731130754,0.733520248,0.703984253
0.734325697,0.734207192,0.731188686,0.733577547,0.704004584
0.734388113,0.734288815,0.731244224,0.73364413,0.703998659
0.734442215,0.734367716,0.731301361,0.733697266,0.704023463
0.734506716,0.734423093,0.731342016,0.733760322,0.704051792
0.734555376,0.734465506,0.731398994,0.733818255,0.704083153
0.734625798,0.734517846,0.73145149,0.733888515,0.704111004
0.734691736,0.734569379,0.731491819,0.733932692,0.704151494
0.734759753,0.734625874,0.731541755,0.733995589,0.70419294
0.73483225,0.734674695,0.731598571,0.734033364,0.704230391
0.73490299,0.73471839,0.731649304,0.734098181,0.704244485
0.73493596,0.734760485,0.731698118,0.734149559,0.70428146
0.735014706,0.734805302,0.731742613,0.734210536,0.704304997
0.735081286,0.734854758,0.731783748,0.734261118,0.704351891
0.735137305,0.734951426,0.731870965,0.734309935,0.704362139
0.735209165,0.735034969,0.731938341,0.734372511,0.704395268
0.735285663,0.735117077,0.73201532,0.734421648,0.704412556
0.735334479,0.7352035,0.732078054,0.734489345,0.704424722
0.735388579,0.73527888,0.73215711,0.73454552,0.704449368
0.735440591,0.735359707,0.732214401,0.734595617,0.704494027
0.735499166,0.73544741,0.732287859,0.734657875,0.704492751
0.735588146,0.735523911,0.732347712,0.734701732,0.704517715
0.735650564,0.735606335,0.732407889,0.734763029,0.704568446
0.735722583,0.735678517,0.732475588,0.734816968,0.704570846
0.735770919,0.735731653,0.732589545,0.734878744,0.704592929
0.735830455,0.735785114,0.732694059,0.734922116,0.704618225
0.735880874,0.735855374,0.732791049,0.734985335,0.70466319
0.73595977,0.73591043,0.732881,0.73504503,0.704671671
0.73600395,0.735968045,0.732978148,0.735114173,0.70471232
0.73606973,0.736036546,0.733067935,0.73516907,0.70470688
0.736142233,0.736096559,0.733161083,0.735209079,0.70469633
0.736189929,0.736160898,0.733252794,0.735267983,0.704732974
0.736259224,0.736226676,0.733345618,0.735325601,0.704765302
0.736312523,0.73628029,0.733431884,0.735375058,0.704785785
0.736374622,0.736347191,0.733514629,0.73544052,0.704851402
0.736427762,0.73640881,0.733596414,0.735496214,0.704879256
0.736487615,0.736471868,0.733669234,0.735550788,0.70490231
0.736555478,0.736530764,0.733745737,0.735607288,0.704917832
0.736622538,0.736598466,0.733838244,0.735642657,0.704937843
0.736690872,0.736661365,0.733922751,0.735701075,0.70495673
0.736768818,0.736718181,0.733996213,0.735759331,0.704986657
0.736827554,0.73677932,0.734087598,0.735806389,0.705021069
0.736856051,0.736844616,0.734166655,0.735868648,0.70504748
0.736907911,0.736897749,0.734239155,0.735912821,0.705080452
0.736968245,0.736967052,0.734324943,0.735946911,0.705108309
0.737019141,0.737024025,0.734400003,0.736008372,0.705118071
0.737073716,0.737091568,0.734467868,0.736064866,0.705153281
0.737119654,0.737154627,0.73453893,0.736116244,0.705169294
0.73717903,0.737216563,0.734613831,0.736161057,0.705175707
0.737236007,0.737275624,0.734684733,0.736214512,0.705202431
0.737300985,0.73733484,0.734761077,0.736262849,0.705238439
0.737358438,0.73739662,0.734835979,0.736309745,0.705249319
0.737414776,0.737456479,0.734907842,0.73637472,0.705287246
0.737473513,0.737509453,0.734975382,0.736414895,0.705324055
0.737528892,0.737547707,0.735049966,0.73646227,0.705358304
0.737581868,0.737599402,0.735128227,0.73651797,0.705385514
0.737629241,0.737646138,0.73520137,0.736564386,0.705400251
0.737695976,0.737690793,0.735277716,0.736602954,0.705439456
0.737753109,0.737729529,0.735345735,0.73665033,0.705457868
0.737817609,0.737776107,0.735421919,0.736698827,0.705501238
0.737868984,0.737816762,0.735504984,0.736737555,0.705514046
0.737929162,0.737861092,0.735572044,0.736777728,0.705527022
0.737989018,0.737909909,0.735633821,0.736831983,0.705550227
0.738052393,0.737953922,0.735697837,0.736875356,0.705612477
0.738107448,0.738020981,0.735762659,0.736929131,0.705668815
0.738168589,0.7380874,0.735827633,0.736987392,0.705699868
0.73821773,0.738163581,0.735901096,0.737046927,0.705712826
0.738263022,0.738225198,0.735976317,0.737096222,0.705772682
